Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,FatigueLevel,Performance.Task
0.6854828208,0.0363465191,0.0416776443,-0.0855419581,0.0990029139,0.000058186,-0.0071098412,0.0160090679,4,1
0.021535506,0.0382273241,0.0422739982,-0.0548920003,-0.0164469827,0.0020665586,0.0137124399,0.0582742258,4,1
0.0017410465,0.0466067918,0.0475666594,-0.0951143202,0.5238036856,0.0082761998,-0.0236895672,0.1132756597,5,1
-0.0003309247,0.0522052493,0.058021096,-0.0816946987,0.0077661098,-0.0105304333,0.0228862322,-0.0111127831,5,1
0.0075640577,0.0772870978,0.0806715421,-0.0781750549,0.0470516552,0.0185215986,0.0608346548,0.0841712105,5,1
0.002186559,0.0310778919,0.0359263996,-0.1005975226,-0.0085443341,-0.0049336079,-0.020878154,0,5,1
0.0024866926,-0.0293369343,-0.0193381106,-0.0987916853,-0.0604634608,-0.0070401767,0.0461523749,-0.0368772042,5,1
0.0742822843,0.0178234441,0.0319113254,-0.0631294991,-0.0451157415,-0.0001612968,-0.0307607935,-0.0010940401,3,1
0.0007954466,0.0083109592,0.0246995646,-0.1057638207,0.0278849296,-0.0089401393,0.0275900128,-0.031462857,3,1
0.0161428108,-0.0345997016,-0.0138724031,-0.0774750619,0.085032005,0.0021591639,-0.0252694826,-0.0111871228,3,1
-0.0012157873,-0.0292618091,-0.0234331909,-0.1048000043,0.0551736885,-0.0064167405,-0.0262143227,-0.0202157975,4,1
0.0009688461,0.0371354491,0.0485926721,-0.0640330035,-0.0541092487,-0.0050668527,-0.0026477238,-0.0163231224,3,1
-0.0002058988,0.0306281306,0.0312981914,-0.1049030551,-0.005017731,0.0200734382,-0.0192964297,0.0498026049,4,1
0.0225014925,0.0567146895,0.076910211,-0.102443236,0.199151012,-0.0080675389,-0.0127147547,-0.0279625532,5,1
0.0017476511,0.0974828787,0.115366961,-0.0780799336,-0.0644266383,-0.0128182437,-0.0383549755,0.0522370513,6,1
0.0028458707,0.0982622992,0.0993631527,-0.0871716186,-0.0597855567,0.0319322729,-0.0057712728,0.1293792808,2,1
0.0025291766,-0.0265953553,-0.0186799549,-0.1001372461,0.020336846,-0.0141844446,0.0164356663,-0.0611558473,2,1
0.0005799979,-0.0071814799,0.0101948266,-0.1018598859,-0.0644266383,0.0122043197,0.0520889535,0.0457391978,2,1
0.0028870449,-0.0196166819,-0.0088094662,-0.0730675135,-0.0275288866,0.0007686711,-0.0344908802,0.0256172408,3,1
0.0012962669,-0.0191067933,-0.0059710882,-0.0910274975,0.0324238653,0.0135532218,-0.0211193447,0.060686202,3,1
